transition,year,state,issuer_concept,county_years,across_county_years,across_share,affected_plan_pair_rows
2022_to_2023,2023,ALL,plan_panel_preferred,2449,5,0.002041649652919559,6
2022_to_2023,2023,AK,plan_panel_preferred,30,0,0.0,0
2022_to_2023,2023,AL,plan_panel_preferred,67,0,0.0,0
2022_to_2023,2023,AR,plan_panel_preferred,75,0,0.0,0
2022_to_2023,2023,AZ,plan_panel_preferred,15,0,0.0,0
2022_to_2023,2023,DE,plan_panel_preferred,3,0,0.0,0
2022_to_2023,2023,FL,plan_panel_preferred,67,0,0.0,0
2022_to_2023,2023,GA,plan_panel_preferred,159,0,0.0,0
2022_to_2023,2023,HI,plan_panel_preferred,5,0,0.0,0
2022_to_2023,2023,IA,plan_panel_preferred,99,0,0.0,0
2022_to_2023,2023,IL,plan_panel_preferred,102,0,0.0,0
2022_to_2023,2023,IN,plan_panel_preferred,92,0,0.0,0
2022_to_2023,2023,KS,plan_panel_preferred,105,0,0.0,0
2022_to_2023,2023,LA,plan_panel_preferred,64,0,0.0,0
2022_to_2023,2023,MI,plan_panel_preferred,83,0,0.0,0
2022_to_2023,2023,MO,plan_panel_preferred,115,0,0.0,0
2022_to_2023,2023,MS,plan_panel_preferred,82,0,0.0,0
2022_to_2023,2023,MT,plan_panel_preferred,56,0,0.0,0
2022_to_2023,2023,NC,plan_panel_preferred,100,3,0.03,3
2022_to_2023,2023,ND,plan_panel_preferred,53,0,0.0,0
2022_to_2023,2023,NE,plan_panel_preferred,93,0,0.0,0
2022_to_2023,2023,NH,plan_panel_preferred,10,0,0.0,0
2022_to_2023,2023,OH,plan_panel_preferred,88,1,0.011363636363636364,2
2022_to_2023,2023,OK,plan_panel_preferred,77,0,0.0,0
2022_to_2023,2023,OR,plan_panel_preferred,36,0,0.0,0
2022_to_2023,2023,SC,plan_panel_preferred,46,1,0.021739130434782608,1
2022_to_2023,2023,SD,plan_panel_preferred,66,0,0.0,0
2022_to_2023,2023,TN,plan_panel_preferred,95,0,0.0,0
2022_to_2023,2023,TX,plan_panel_preferred,254,0,0.0,0
2022_to_2023,2023,UT,plan_panel_preferred,29,0,0.0,0
2022_to_2023,2023,VA,plan_panel_preferred,133,0,0.0,0
2022_to_2023,2023,WI,plan_panel_preferred,72,0,0.0,0
2022_to_2023,2023,WV,plan_panel_preferred,55,0,0.0,0
2022_to_2023,2023,WY,plan_panel_preferred,23,0,0.0,0
2022_to_2023,2023,ALL,crosswalk_issuer_only,2449,5,0.002041649652919559,6
2022_to_2023,2023,AK,crosswalk_issuer_only,30,0,0.0,0
2022_to_2023,2023,AL,crosswalk_issuer_only,67,0,0.0,0
2022_to_2023,2023,AR,crosswalk_issuer_only,75,0,0.0,0
2022_to_2023,2023,AZ,crosswalk_issuer_only,15,0,0.0,0
2022_to_2023,2023,DE,crosswalk_issuer_only,3,0,0.0,0
2022_to_2023,2023,FL,crosswalk_issuer_only,67,0,0.0,0
2022_to_2023,2023,GA,crosswalk_issuer_only,159,0,0.0,0
2022_to_2023,2023,HI,crosswalk_issuer_only,5,0,0.0,0
2022_to_2023,2023,IA,crosswalk_issuer_only,99,0,0.0,0
2022_to_2023,2023,IL,crosswalk_issuer_only,102,0,0.0,0
2022_to_2023,2023,IN,crosswalk_issuer_only,92,0,0.0,0
2022_to_2023,2023,KS,crosswalk_issuer_only,105,0,0.0,0
2022_to_2023,2023,LA,crosswalk_issuer_only,64,0,0.0,0
2022_to_2023,2023,MI,crosswalk_issuer_only,83,0,0.0,0
2022_to_2023,2023,MO,crosswalk_issuer_only,115,0,0.0,0
2022_to_2023,2023,MS,crosswalk_issuer_only,82,0,0.0,0
2022_to_2023,2023,MT,crosswalk_issuer_only,56,0,0.0,0
2022_to_2023,2023,NC,crosswalk_issuer_only,100,3,0.03,3
2022_to_2023,2023,ND,crosswalk_issuer_only,53,0,0.0,0
2022_to_2023,2023,NE,crosswalk_issuer_only,93,0,0.0,0
2022_to_2023,2023,NH,crosswalk_issuer_only,10,0,0.0,0
2022_to_2023,2023,OH,crosswalk_issuer_only,88,1,0.011363636363636364,2
2022_to_2023,2023,OK,crosswalk_issuer_only,77,0,0.0,0
2022_to_2023,2023,OR,crosswalk_issuer_only,36,0,0.0,0
2022_to_2023,2023,SC,crosswalk_issuer_only,46,1,0.021739130434782608,1
2022_to_2023,2023,SD,crosswalk_issuer_only,66,0,0.0,0
2022_to_2023,2023,TN,crosswalk_issuer_only,95,0,0.0,0
2022_to_2023,2023,TX,crosswalk_issuer_only,254,0,0.0,0
2022_to_2023,2023,UT,crosswalk_issuer_only,29,0,0.0,0
2022_to_2023,2023,VA,crosswalk_issuer_only,133,0,0.0,0
2022_to_2023,2023,WI,crosswalk_issuer_only,72,0,0.0,0
2022_to_2023,2023,WV,crosswalk_issuer_only,55,0,0.0,0
2022_to_2023,2023,WY,crosswalk_issuer_only,23,0,0.0,0
2022_to_2023,2023,ALL,plan_panel_issuer_only,2449,5,0.002041649652919559,6
2022_to_2023,2023,AK,plan_panel_issuer_only,30,0,0.0,0
2022_to_2023,2023,AL,plan_panel_issuer_only,67,0,0.0,0
2022_to_2023,2023,AR,plan_panel_issuer_only,75,0,0.0,0
2022_to_2023,2023,AZ,plan_panel_issuer_only,15,0,0.0,0
2022_to_2023,2023,DE,plan_panel_issuer_only,3,0,0.0,0
2022_to_2023,2023,FL,plan_panel_issuer_only,67,0,0.0,0
2022_to_2023,2023,GA,plan_panel_issuer_only,159,0,0.0,0
2022_to_2023,2023,HI,plan_panel_issuer_only,5,0,0.0,0
2022_to_2023,2023,IA,plan_panel_issuer_only,99,0,0.0,0
2022_to_2023,2023,IL,plan_panel_issuer_only,102,0,0.0,0
2022_to_2023,2023,IN,plan_panel_issuer_only,92,0,0.0,0
2022_to_2023,2023,KS,plan_panel_issuer_only,105,0,0.0,0
2022_to_2023,2023,LA,plan_panel_issuer_only,64,0,0.0,0
2022_to_2023,2023,MI,plan_panel_issuer_only,83,0,0.0,0
2022_to_2023,2023,MO,plan_panel_issuer_only,115,0,0.0,0
2022_to_2023,2023,MS,plan_panel_issuer_only,82,0,0.0,0
2022_to_2023,2023,MT,plan_panel_issuer_only,56,0,0.0,0
2022_to_2023,2023,NC,plan_panel_issuer_only,100,3,0.03,3
2022_to_2023,2023,ND,plan_panel_issuer_only,53,0,0.0,0
2022_to_2023,2023,NE,plan_panel_issuer_only,93,0,0.0,0
2022_to_2023,2023,NH,plan_panel_issuer_only,10,0,0.0,0
2022_to_2023,2023,OH,plan_panel_issuer_only,88,1,0.011363636363636364,2
2022_to_2023,2023,OK,plan_panel_issuer_only,77,0,0.0,0
2022_to_2023,2023,OR,plan_panel_issuer_only,36,0,0.0,0
2022_to_2023,2023,SC,plan_panel_issuer_only,46,1,0.021739130434782608,1
2022_to_2023,2023,SD,plan_panel_issuer_only,66,0,0.0,0
2022_to_2023,2023,TN,plan_panel_issuer_only,95,0,0.0,0
2022_to_2023,2023,TX,plan_panel_issuer_only,254,0,0.0,0
2022_to_2023,2023,UT,plan_panel_issuer_only,29,0,0.0,0
2022_to_2023,2023,VA,plan_panel_issuer_only,133,0,0.0,0
2022_to_2023,2023,WI,plan_panel_issuer_only,72,0,0.0,0
2022_to_2023,2023,WV,plan_panel_issuer_only,55,0,0.0,0
2022_to_2023,2023,WY,plan_panel_issuer_only,23,0,0.0,0
2022_to_2023,2023,ALL,plan_id_prefix,2449,5,0.002041649652919559,6
2022_to_2023,2023,AK,plan_id_prefix,30,0,0.0,0
2022_to_2023,2023,AL,plan_id_prefix,67,0,0.0,0
2022_to_2023,2023,AR,plan_id_prefix,75,0,0.0,0
2022_to_2023,2023,AZ,plan_id_prefix,15,0,0.0,0
2022_to_2023,2023,DE,plan_id_prefix,3,0,0.0,0
2022_to_2023,2023,FL,plan_id_prefix,67,0,0.0,0
2022_to_2023,2023,GA,plan_id_prefix,159,0,0.0,0
2022_to_2023,2023,HI,plan_id_prefix,5,0,0.0,0
2022_to_2023,2023,IA,plan_id_prefix,99,0,0.0,0
2022_to_2023,2023,IL,plan_id_prefix,102,0,0.0,0
2022_to_2023,2023,IN,plan_id_prefix,92,0,0.0,0
2022_to_2023,2023,KS,plan_id_prefix,105,0,0.0,0
2022_to_2023,2023,LA,plan_id_prefix,64,0,0.0,0
2022_to_2023,2023,MI,plan_id_prefix,83,0,0.0,0
2022_to_2023,2023,MO,plan_id_prefix,115,0,0.0,0
2022_to_2023,2023,MS,plan_id_prefix,82,0,0.0,0
2022_to_2023,2023,MT,plan_id_prefix,56,0,0.0,0
2022_to_2023,2023,NC,plan_id_prefix,100,3,0.03,3
2022_to_2023,2023,ND,plan_id_prefix,53,0,0.0,0
2022_to_2023,2023,NE,plan_id_prefix,93,0,0.0,0
2022_to_2023,2023,NH,plan_id_prefix,10,0,0.0,0
2022_to_2023,2023,OH,plan_id_prefix,88,1,0.011363636363636364,2
2022_to_2023,2023,OK,plan_id_prefix,77,0,0.0,0
2022_to_2023,2023,OR,plan_id_prefix,36,0,0.0,0
2022_to_2023,2023,SC,plan_id_prefix,46,1,0.021739130434782608,1
2022_to_2023,2023,SD,plan_id_prefix,66,0,0.0,0
2022_to_2023,2023,TN,plan_id_prefix,95,0,0.0,0
2022_to_2023,2023,TX,plan_id_prefix,254,0,0.0,0
2022_to_2023,2023,UT,plan_id_prefix,29,0,0.0,0
2022_to_2023,2023,VA,plan_id_prefix,133,0,0.0,0
2022_to_2023,2023,WI,plan_id_prefix,72,0,0.0,0
2022_to_2023,2023,WV,plan_id_prefix,55,0,0.0,0
2022_to_2023,2023,WY,plan_id_prefix,23,0,0.0,0
